(0.01, 0.09, 0.1)
(-0.1, 0.07, -0.02)
(-0.08, 0.0, 0.35000000000000003)
(-0.14, -0.04, -0.25)
(-0.08, -0.08, -0.56)
(-0.07, -0.06, -0.47000000000000003)
(-0.07, -0.02, -0.34)
(-0.13, -0.14, -0.48)
(-0.07, -0.03, -0.27)
(-0.15, -0.05, -0.46)
(-0.05, 0.09, -0.33)
(-0.12, 0.04, -0.45)
(-0.08, 0.1, -0.38)
(-0.09, 0.04, 0.14)
(-0.01, 0.06, -0.47000000000000003)
(-0.06, -0.02, -0.27)
(0.17, 0.02, -0.46)
(1.29, 0.31, -1.48)
(2.25, -0.14, -0.04)
(2.65, -0.58, 1.34)
(2.25, 0.76, 0.98)
(0.9400000000000001, 0.56, 0.5700000000000001)
(-0.43, 0.44, -0.09)
(-2.17, 0.64, -0.86)
(-3.0100000000000002, 0.33, 0.97)
(-2.95, -0.85, -0.89)
(-2.79, 0.42, 0.32)
(-2.45, -0.05, 0.33)
(-2.58, -0.44, 0.23)
(-1.94, -0.55, 0.7000000000000001)
(-0.72, 0.16, -1.17)
(0.71, -1.27, -1.75)
(1.29, 0.13, -1.2)
(1.6500000000000001, -0.04, -1.59)
(1.36, 0.46, -0.05)
(1.37, 0.65, 1.57)
(0.71, 0.06, -1.67)
(0.15, -0.51, -1.62)
(-0.22, -0.17, -0.42)
(-0.03, -0.03, 0.01)
(0.07, 0.05, -0.01)
(-0.13, 0.11, 0.34)
(-0.18, 0.15, -0.88)
(-0.17, 0.1, -0.5)
(-0.12, -0.23, -0.02)
(-0.07, -0.23, -0.44)
(-0.07, -0.06, -0.26)
(-0.08, 0.04, 0.29)
(-0.12, 0.13, -0.35000000000000003)
(-0.16, -0.1, -0.65)
(-0.14, -0.05, -0.46)
(-0.07, 0.15, -0.27)
(-0.09, 0.16, -0.39)
(-0.12, -0.19, -0.61)
(-0.08, -0.67, -0.14)
(0.06, -1.27, -0.23)
(-0.01, -1.29, -0.28)
(0.37, -1.47, 0.3)
(0.68, -1.12, 0.45)
(1.05, -0.21, 0.13)
(1.19, 0.63, 1.22)
(0.9, 2.14, 1.45)
(0.5700000000000001, 2.49, 1.05)
(-0.81, 3.19, 0.25)
(-1.6600000000000001, 2.5500000000000003, -0.63)
(-1.8900000000000001, 2.99, -1.3900000000000001)
(-2.29, 1.46, -0.64)
(-2.9, 1.33, -1.56)
(-2.79, 0.32, -0.96)
(-2.47, 0.22, -0.26)
(-2.2600000000000002, -0.71, -0.11)
(-2.04, -2.31, -0.78)
(-2.21, -1.71, -0.88)
(-1.36, -1.57, -0.68)
(-0.78, -2.25, -0.41000000000000003)
(0.35000000000000003, -2.83, 0.5700000000000001)
(0.32, -2.92, -0.84)
(1.1500000000000001, -1.56, -1.77)
(0.8, -0.77, 2.1)
(0.4, 0.88, 0.14)
(0.36, 2.38, -1.1400000000000001)
(0.11, 1.6500000000000001, -0.46)
(-0.3, 1.31, 0.4)
(-0.23, 0.74, -0.07)
(-0.28, 0.39, -0.65)
(-0.15, 0.03, -0.55)
(-0.09, -0.16, -0.21)
(-0.1, 0.04, -0.2)
(-0.14, 0.23, -0.5700000000000001)
(-0.22, -0.01, -0.31)
(-0.15, -0.07, -0.45)
(-0.12, -0.11, -0.93)
(-0.19, 0.06, -0.12)
(-0.17, -0.19, -0.08)
(-0.14, -0.15, -0.54)
(-0.09, 0.1, -0.6900000000000001)
(-0.16, 0.19, -0.18)
(-0.11, 0.08, -0.24)
(-0.14, -0.05, -0.62)
(-0.09, 0.06, -0.55)
(-0.17, 0.03, -0.22)
(-0.13, 0.18, -0.8200000000000001)
(-0.25, 0.26, -0.99)
(-0.22, 0.96, -0.22)
(-0.07, 1.35, -0.75)
(0.17, 1.6400000000000001, -1.11)
(0.55, 1.18, 0.51)
(1.22, 0.43, 0.0)
(1.37, -0.5700000000000001, 0.9)
(0.99, -2.42, -0.18)
(0.09, -3.0, 0.22)
(-1.05, -3.46, 1.47)
(-1.92, -3.36, -0.04)
(-2.36, -2.59, 0.55)
(-2.35, -2.2600000000000002, -0.22)
(-3.04, -2.06, -0.25)
(-3.2, -0.5700000000000001, -0.56)
(-3.0700000000000003, 0.63, -1.32)
(-2.4, 1.16, -1.18)
